HR,Name,Hours RA,Minutes RA,Seconds RA,Degrees Dec,Minutes Dec,Seconds Dec,VisualMag,B-V
3,33    Psc,00,05,20.1,-05,42,27,4.61,+1.04
4,86    Peg,00,05,42.0,+13,23,46,5.51,+0.90
5,,00,06,16.0,+58,26,12,5.96,+0.67
6,,00,06,19.0,-49,04,30,5.70,+0.52
7,10    Cas,00,06,26.5,+64,11,46,5.59,-0.03
12,,00,07,46.8,-22,30,32,5.94,+0.14
13,,00,08,03.5,-33,31,46,5.68,+1.12
15,21Alp And,00,08,23.3,+29,05,26,2.06,-0.11
16,,00,08,17.4,-08,49,26,5.99,+1.04
21,11Bet Cas,00,09,10.7,+59,08,59,2.27,+0.34
22,87    Peg,00,09,02.4,+18,12,43,5.53,+1.04
24,Kap1Scl,00,09,21.0,-27,59,16,5.42,+0.42
25,Eps Phe,00,09,24.7,-45,44,51,3.88,+1.03
26,34    Psc,00,10,02.3,+11,08,44,5.51,-0.07
27,22    And,00,10,19.3,+46,04,20,5.03,+0.40
29,,00,10,18.8,-05,14,55,5.84,+0.98
30,Gam3Oct,00,10,02.1,-82,13,26,5.28,+1.05
31,,00,10,42.8,-12,34,48,5.85,+1.01
33,6    Cet,00,11,15.9,-15,28,05,4.89,+0.49
34,Kap2Scl,00,11,34.4,-27,47,59,5.41,+1.34
35,The Scl,00,11,44.0,-35,07,59,5.25,+0.44
37,,00,12,10.0,-17,56,18,5.25,+1.48
39,88Gam Peg,00,13,14.2,+15,11,01,2.83,-0.23
41,23    And,00,13,30.8,+41,02,07,5.72,+0.31
42,,00,13,42.1,-26,01,19,5.94,+1.55
45,89Chi Peg,00,14,36.2,+20,12,24,4.80,+1.57
46,,00,14,27.6,-07,46,50,5.12,+1.62
47,,00,13,19.4,-84,59,39,5.77,+1.72
48,7    Cet,00,14,38.4,-18,55,58,4.44,+1.66
50,35    Psc,00,14,58.8,+08,49,15,5.79,+0.31
51,,00,14,54.5,-09,34,11,5.75,-0.08
57,,00,16,08.9,-31,26,47,5.67,+1.35
60,,00,16,57.1,+61,32,00,5.74,+0.88
62,,00,17,09.1,+47,56,51,5.89,-0.09
63,24The And,00,17,05.5,+38,40,54,4.61,+0.06
68,25Sig And,00,18,19.7,+36,47,07,4.52,+0.05
71,,00,18,38.3,+31,31,02,5.87,-0.01
74,8Iot Cet,00,19,25.7,-08,49,26,3.56,+1.22
77,Zet Tuc,00,20,04.3,-64,52,29,4.23,+0.58
78,,00,20,24.4,+30,56,09,5.90,-0.10
79,,00,20,45.5,+32,54,41,5.79,+1.59
80,41    Psc,00,20,35.9,+08,11,25,5.37,+1.34
82,27Rho And,00,21,07.3,+37,58,07,5.18,+0.42
83,Pi  Tuc,00,20,39.0,-69,37,30,5.51,-0.05
84,Iot Scl,00,21,31.2,-28,58,54,5.18,+1.00
85,,00,21,46.3,-20,03,28,5.12,+1.82
87,,00,21,28.6,-77,25,37,5.97,+1.40
91,,00,24,15.6,+52,01,12,5.57,-0.12
93,12    Cas,00,24,47.5,+61,49,52,5.40,0.00
96,,00,25,06.4,+53,02,49,5.74,-0.06
97,44    Psc,00,25,24.2,+01,56,23,5.77,+0.86
98,Bet Hyi,00,25,45.1,-77,15,15,2.80,+0.62
99,Alp Phe,00,26,17.0,-42,18,22,2.39,+1.09
100,Kap Phe,00,26,12.2,-43,40,48,3.94,+0.17
102,,00,27,14.7,-25,32,50,5.98,+1.03
103,47    Psc,00,28,02.9,+17,53,35,5.06,+1.65
104,,00,28,13.7,+44,23,40,5.17,+0.03
105,Eta Scl,00,27,55.7,-33,00,26,4.81,+1.64
109,,00,28,26.4,-39,54,54,5.43,+1.56
113,,00,30,19.9,+59,58,38,5.94,+0.01
114,28    And,00,30,07.3,+29,45,06,5.23,+0.24
117,12    Cet,00,30,02.4,-03,57,26,5.72,+1.56
118,,00,30,22.7,-23,47,16,5.19,+0.12
120,,00,30,26.1,-48,12,54,5.69,+0.35
122,,00,31,25.6,+33,34,54,5.87,+1.14
123,14Lam Cas,00,31,46.4,+54,31,20,4.73,-0.10
124,,00,31,41.2,+52,50,22,5.60,+1.15
125,Lam1Phe,00,31,25.0,-48,48,13,4.77,+0.02
126,Bet1Tuc,00,31,32.7,-62,57,29,4.37,-0.07
127,Bet2Tuc,00,31,33.6,-62,57,57,4.54,+0.15
130,15Kap Cas,00,33,00.0,+62,55,54,4.16,+0.14
131,52    Psc,00,32,35.5,+20,17,40,5.38,+1.08
132,51    Psc,00,32,23.8,+06,57,20,5.67,0.00
135,,00,33,10.4,+54,53,42,5.93,+1.04
136,Bet3Tuc,00,32,43.8,-63,01,52,5.09,+0.04
138,,00,33,41.1,-29,33,30,5.55,+1.27
140,,00,34,27.8,-52,22,23,5.57,+0.47
142,13    Cet,00,35,14.9,-03,35,34,5.20,+0.56
143,14    Cet,00,35,32.8,-00,30,20,5.93,+0.44
144,,00,36,08.3,+54,10,07,5.08,-0.11
146,,00,36,27.3,+60,19,34,5.79,+0.29
147,Lam2Phe,00,35,41.1,-48,00,03,5.51,+0.44
152,,00,36,46.6,+44,29,19,5.13,+1.60
153,17Zet Cas,00,36,58.3,+53,53,49,3.66,-0.20
154,29Pi  And,00,36,52.9,+33,43,10,4.36,-0.14
155,53    Psc,00,36,47.3,+15,13,54,5.89,-0.15
157,,00,37,21.1,+35,23,58,5.48,+0.88
159,,00,37,20.7,-24,46,02,5.57,+0.72
163,30Eps And,00,38,33.3,+29,18,42,4.37,+0.87
164,,00,39,09.9,+49,21,16,5.43,+1.64
165,31Del And,00,39,19.7,+30,51,39,3.27,+1.28
166,54    Psc,00,39,21.8,+21,15,02,5.87,+0.85
